date,cpi_yoy,fx,month,cpi_yoy_growthRate,cpi_yoy_lag1,cpi_yoy_lag2,bankCreditPnfs_lag2,totalCreditPnfsLCY_lag2,cpi_yoy_lag3,bankCreditPnfs_lag3,totalCreditPnfsLCY_lag3,cpi_yoy_lag4,bankCreditPnfs_lag4,totalCreditPnfsLCY_lag4,fx_std,is_systemic_crisis
1993-10-01,4.3401546,0.8604961617647059,1993-11,0.2838450012938567,4.563553000000001,4.566690599999999,973.8066666666668,1918.879,4.5863632,980.007,1876.121,3.3805908,967.0133333333332,1835.449,0.0619980776630086,0.0
1994-01-01,3.0130712,0.88062596875,1994-01,-0.3430369404673403,4.3401546,4.563553000000001,1014.2746666666668,1962.68,4.566690599999999,973.8066666666668,1918.879,4.5863632,980.007,1876.121,0.0412950049058601,0.0
1994-04-01,2.7737832,0.8489579016393443,1994-04,-0.3926054022578187,3.0130712,4.3401546,1014.5376666666668,2023.166,4.563553000000001,1014.2746666666668,1962.68,4.566690599999999,973.8066666666668,1918.879,0.0630663139441699,0.0
1994-07-01,2.4311838000000003,0.7991709411764706,1994-07,-0.4672607505599255,2.7737832,3.0130712,1048.1033333333332,2007.523,4.3401546,1014.5376666666668,2023.166,4.563553000000001,1014.2746666666668,1962.68,0.0742165832455056,0.0
1994-10-01,2.343299,0.78939865625,1994-10,-0.4600885876277311,2.4311838000000003,2.7737832,1094.955333333333,2039.852,3.0130712,1048.1033333333332,2007.523,4.3401546,1014.5376666666668,2023.166,0.0701292916187354,0.0
1995-01-01,2.1729076,0.7560338000000001,1995-01,-0.2788396105608125,2.343299,2.4311838000000003,1136.1483333333333,2080.524,2.7737832,1094.955333333333,2039.852,3.0130712,1048.1033333333332,2007.523,0.0384821615275019,0.0
1995-04-01,1.808862,0.7144485666666667,1995-04,-0.3478718884734755,2.1729076,2.343299,1157.2993333333334,2129.539,2.4311838000000003,1136.1483333333333,2080.524,2.7737832,1094.955333333333,2039.852,0.0421521244385526,0.0
1995-07-01,1.8016774,0.7324655538461539,1995-07,-0.2589299912248511,1.808862,2.1729076,1224.9976666666666,2080.524,2.343299,1157.2993333333334,2129.539,2.4311838000000003,1136.1483333333333,2080.524,0.0713824231235173,0.0
1995-10-01,1.6600916,0.7277876507936508,1995-10,-0.291557927520133,1.8016774,1.808862,1243.023,2126.41,2.1729076,1224.9976666666666,2080.524,2.343299,1157.2993333333334,2129.539,0.0725762403751765,0.0
1996-01-01,1.4172446,0.7506401875,1996-01,-0.3477658230842396,1.6600916,1.8016774,1241.4713333333332,2153.525,1.808862,1243.023,2126.41,2.1729076,1224.9976666666666,2080.524,0.0790147063871506,0.0
1996-04-01,1.325414,0.7776504838709677,1996-04,-0.2672663807410405,1.4172446,1.6600916,1266.8023333333333,2184.811,1.8016774,1241.4713333333332,2153.525,1.808862,1243.023,2126.41,0.0382838147775937,0.0
1996-07-01,1.264045,0.766153104477612,1996-07,-0.2984065848858402,1.325414,1.4172446,1262.716,2207.754,1.6600916,1266.8023333333333,2184.811,1.8016774,1241.4713333333332,2153.525,0.0517201871856427,0.0
1996-10-01,1.5202566000000002,0.7822804545454546,1996-10,-0.0842333037526361,1.264045,1.325414,1257.7036666666663,2242.168,1.4172446,1262.716,2207.754,1.6600916,1266.8023333333333,2184.811,0.04599147565365,0.0
1997-01-01,1.9290276,0.8466956393442623,1997-01,0.361111271829859,1.5202566000000002,1.264045,1272.779,2269.283,1.325414,1257.7036666666663,2242.168,1.4172446,1262.716,2207.754,0.0804659827642354,0.0
1997-04-01,1.5585724,0.875613375,1997-04,0.175913639059192,1.9290276,1.5202566000000002,1302.7713333333334,2310.998,1.264045,1272.779,2269.283,1.325414,1257.7036666666663,2242.168,0.0803401068445684,0.0
1997-07-01,2.3300968,0.922464791044776,1997-07,0.8433653865170936,1.5585724,1.9290276,1262.85,2331.855,1.5202566000000002,1302.7713333333334,2310.998,1.264045,1272.779,2269.283,0.0532612282508502,0.0
1997-10-01,2.1076486,0.8979846818181818,1997-10,0.3863768787453381,2.3300968,1.5585724,1259.2653333333335,2362.098,1.9290276,1262.85,2331.855,1.5202566000000002,1302.7713333333334,2310.998,0.0921481074655891,0.0
1998-01-01,1.2064942,0.9302272698412698,1998-01,-0.3745583526124768,2.1076486,2.3300968,1264.8786666666667,2385.041,1.5585724,1259.2653333333335,2362.098,1.9290276,1262.85,2331.855,0.0699456433424149,0.0
1998-04-01,1.342881,0.9181812096774196,1998-04,-0.1383903628731011,1.2064942,2.1076486,1283.4476666666667,2419.456,2.3300968,1264.8786666666667,2385.041,1.5585724,1259.2653333333335,2362.098,0.0766029781311608,0.0
1998-07-01,0.6776169999999999,0.9021342352941176,1998-07,-0.7091893349666847,1.342881,1.2064942,1284.5106666666668,2441.356,2.1076486,1283.4476666666667,2419.456,2.3300968,1264.8786666666667,2385.041,0.0560442944312837,0.0
1998-10-01,0.3802877999999999,0.8501496865671642,1998-10,-0.8195677400872233,0.6776169999999999,1.342881,1317.8003333333334,2469.514,1.2064942,1284.5106666666668,2441.356,2.1076486,1283.4476666666667,2419.456,0.0766210227254621,0.0
1999-01-01,0.1625648,0.8922776507936508,1999-02,-0.8652585317028462,0.3802877999999999,0.6776169999999999,1387.323,2508.1,1.342881,1317.8003333333334,2469.514,1.2064942,1284.5106666666668,2441.356,0.0885340659745839,0.0
1999-04-01,0.6220244,0.9458359402985076,1999-04,-0.5367985696424329,0.1625648,0.3802877999999999,1428.667333333333,2567.544,0.6776169999999999,1387.323,2508.1,1.342881,1317.8003333333334,2469.514,0.1118765142129578,0.0
1999-07-01,0.6464676,0.9545557941176472,1999-07,-0.0459690356056591,0.6220244,0.1625648,1388.4886666666664,2532.086,0.3802877999999999,1428.667333333333,2567.544,0.6776169999999999,1387.323,2508.1,0.1066361162422605,0.0
1999-10-01,0.9468968,0.963068671641791,1999-11,1.489947876318936,0.6464676,0.6220244,1379.4129999999998,2586.483,0.1625648,1388.4886666666664,2532.086,0.3802877999999999,1428.667333333333,2567.544,0.0534814908114626,0.0
2000-01-01,1.568884,1.0142900153846153,2000-01,8.650822318238633,0.9468968,0.6464676,1419.301333333333,2626.298,0.6220244,1379.4129999999998,2586.483,0.1625648,1388.4886666666664,2532.086,0.0551739226909842,0.0
2000-04-01,0.9942988,1.0723047903225806,2000-04,0.5984884194253473,1.568884,0.9468968,1410.8846666666668,2707.741,0.6464676,1419.301333333333,2626.298,0.6220244,1379.4129999999998,2586.483,0.0533592413316397,0.0
2000-07-01,1.3377583999999998,1.1058496615384616,2000-07,1.0693355707231107,0.9942988,1.568884,1413.5353333333333,2761.152,0.9468968,1410.8846666666668,2707.741,0.6464676,1419.301333333333,2626.298,0.0445647577595263,0.0
2000-10-01,1.6614882000000002,1.152572126984127,2000-10,0.7546666120320611,1.3377583999999998,0.9942988,1414.8966666666668,2825.519,1.568884,1413.5353333333333,2761.152,0.9468968,1410.8846666666668,2707.741,0.0233142096103728,0.0
2001-01-01,1.6777632,1.08361665625,2001-01,0.0693991397706905,1.6614882000000002,1.3377583999999998,1376.2546666666665,2837.643,0.9942988,1414.8966666666668,2825.519,1.568884,1413.5353333333333,2761.152,0.1055636638432419,1.0
2001-04-01,2.5013156,1.1466277903225808,2001-04,1.515657868640694,1.6777632,1.6614882000000002,1428.7303333333332,2964.8609999999994,1.3377583999999998,1376.2546666666665,2837.643,0.9942988,1414.8966666666668,2825.519,0.1060412392144889,1.0
2001-07-01,2.0591644,1.1241910923076923,2001-07,0.5392647880215142,2.5013156,1.6777632,1418.2279999999998,3003.387,1.6614882000000002,1428.7303333333332,2964.8609999999994,1.3377583999999998,1376.2546666666665,2837.643,0.1096558500968248,1.0
2001-10-01,1.7401952,1.115782615384615,2001-10,0.0473713866881508,2.0591644,2.5013156,1384.2923333333335,3032.055,1.6777632,1418.2279999999998,3003.387,1.6614882000000002,1428.7303333333332,2964.8609999999994,0.0979330670493569,1.0
2002-01-01,1.9643922,1.1409279516129032,2002-01,0.1708399612054907,1.7401952,2.0591644,1430.3873333333331,3066.91,2.5013156,1384.2923333333335,3032.055,1.6777632,1418.2279999999998,3003.387,0.0693661674209433,1.0
2002-04-01,1.4282072,1.0895684603174605,2002-04,-0.4290175937814484,1.9643922,1.7401952,1421.4193333333333,3085.197,2.0591644,1430.3873333333331,3066.91,2.5013156,1384.2923333333335,3032.055,0.0560937837364917,1.0
2002-07-01,1.2158094,1.0164095147058825,2002-07,-0.4095617620428946,1.4282072,1.9643922,1404.5043333333333,3085.859,1.7401952,1421.4193333333333,3085.197,2.0591644,1430.3873333333331,3066.91,0.0795098126225492,1.0
2002-10-01,1.2182006,1.001369606060606,2002-10,-0.2999632455025735,1.2158094,1.4282072,1495.4016666666666,3133.214,1.9643922,1404.5043333333333,3085.859,1.7401952,1421.4193333333333,3085.197,0.0777663276969462,1.0
2003-01-01,1.0787744,0.9320491746031746,2003-01,-0.4508355307051209,1.2182006,1.2158094,1495.2563333333335,3157.146,1.4282072,1495.4016666666666,3133.214,1.9643922,1404.5043333333333,3085.859,0.0506493648337864,1.0
2003-04-01,0.8191022,0.8815845,2003-04,-0.4264822359108677,1.0787744,1.2182006,1550.5463333333337,3172.578,1.2158094,1495.2563333333335,3157.146,1.4282072,1495.4016666666666,3133.214,0.0505032566421616,1.0
2003-07-01,0.9456054,0.8887096323529411,2003-07,-0.2222420718247448,0.8191022,1.0787744,1572.486,3186.037,1.2182006,1550.5463333333337,3172.578,1.2158094,1495.2563333333335,3157.146,0.0709697576096122,1.0
2003-10-01,1.1777902,0.8420871515151515,2003-10,-0.0331722049718249,0.9456054,0.8191022,1614.607,3209.618,1.0787744,1572.486,3186.037,1.2182006,1550.5463333333337,3172.578,0.0683749035127626,1.0
2004-01-01,1.0676452,0.80040390625,2004-01,-0.0103165221569957,1.1777902,0.9456054,1630.8866666666663,3210.784,0.8191022,1614.607,3209.618,1.0787744,1572.486,3186.037,0.0602395177207698,0.0
2004-04-01,1.7772972,0.8296841692307693,2004-04,1.169811288505879,1.0676452,1.1777902,1699.5690000000002,3197.016,0.9456054,1630.8866666666663,3210.784,0.8191022,1614.607,3209.618,0.0878271781051325,0.0
2004-07-01,1.7721519999999995,0.8185150294117647,2004-07,0.8740925125850587,1.7772972,1.0676452,1657.1946666666663,3147.016,1.1777902,1699.5690000000002,3197.016,0.9456054,1630.8866666666663,3210.784,0.0830090010577967,0.0
2004-10-01,1.8974024,0.7723762205882353,2004-11,0.6109850464030011,1.7721519999999995,1.7772972,1654.4103333333333,3143.793,1.0676452,1657.1946666666663,3147.016,1.1777902,1699.5690000000002,3197.016,0.0851297659019455,0.0
2005-01-01,1.5838722,0.7627258064516129,2005-01,0.4835192440335047,1.8974024,1.7721519999999995,1669.928,3131.434,1.7772972,1654.4103333333333,3143.793,1.0676452,1657.1946666666663,3147.016,0.0759816365464306,0.0
2005-04-01,1.147383,0.7939579253731343,2005-04,-0.3544225467749569,1.5838722,1.8974024,1749.2016666666666,3109.616,1.7721519999999995,1669.928,3131.434,1.7772972,1654.4103333333333,3143.793,0.0796953488123187,0.0
2005-07-01,1.691636,0.8200916029411766,2005-07,-0.0454340259751983,1.147383,1.5838722,1689.0780000000002,3090.481,1.8974024,1749.2016666666666,3109.616,1.7721519999999995,1669.928,3131.434,0.0900925428915504,0.0
2005-10-01,1.7390316,0.84158021875,2005-10,-0.0834671654257421,1.691636,1.147383,1629.4346666666668,3106.884,1.5838722,1689.0780000000002,3090.481,1.8974024,1749.2016666666666,3109.616,0.0474083544440778,0.0
2006-01-01,1.6836148000000002,0.8318094153846154,2006-01,0.0629738939795774,1.7390316,1.691636,1629.775,3111.883,1.147383,1629.4346666666668,3106.884,1.5838722,1689.0780000000002,3090.481,0.046553589683101,0.0
2006-04-01,2.0223212,0.7950367903225807,2006-04,0.7625511272173284,1.6836148000000002,1.7390316,1607.0383333333332,3117.168,1.691636,1629.775,3111.883,1.147383,1629.4346666666668,3106.884,0.0717072000870881,0.0
2006-07-01,1.5903497999999998,0.7847818769230769,2006-07,-0.059874701176849,2.0223212,1.6836148000000002,1635.532333333333,3146.98,1.7390316,1607.0383333333332,3117.168,1.691636,1629.775,3111.883,0.0576221824143755,0.0
2006-10-01,1.2202344,0.7763037936507937,2006-10,-0.2983253438292897,1.5903497999999998,2.0223212,1690.5403333333334,3185.902,1.6836148000000002,1635.532333333333,3146.98,1.7390316,1607.0383333333332,3117.168,0.032483268373981,0.0
2007-01-01,1.8257162,0.76310078125,2007-01,0.0844025604906775,1.2202344,1.5903497999999998,1691.0019999999995,3208.268,2.0223212,1690.5403333333334,3185.902,1.6836148000000002,1635.532333333333,3146.98,0.0310687113838354,0.0
2007-04-01,2.0305056,0.7417955967741935,2007-04,0.0040470326869936,1.8257162,1.2202344,1719.189333333333,3212.033,1.5903497999999998,1691.0019999999995,3208.268,2.0223212,1690.5403333333334,3185.902,0.0152469995204153,0.0
2007-07-01,2.19174,0.7280084461538462,2007-07,0.3781496372684803,2.0305056,1.8257162,1720.707,3197.8890000000006,1.2202344,1719.189333333333,3212.033,1.5903497999999998,1691.0019999999995,3208.268,0.0141503315456254,0.0
2007-10-01,2.9657498,0.6908656363636364,2007-10,1.4304754889716271,2.19174,2.0305056,1736.4043333333332,3213.295,1.8257162,1720.707,3197.8890000000006,1.2202344,1719.189333333333,3212.033,0.0313638021185008,1.0
2008-01-01,2.8445346,0.6682099032258065,2008-01,0.558037662151434,2.9657498,2.19174,1795.1223333333337,3210.22,2.0305056,1736.4043333333332,3213.295,1.8257162,1720.707,3197.8890000000006,0.0272670629587801,1.0
2008-04-01,2.653271,0.6401335,2008-04,0.3067045961360559,2.8445346,2.9657498,1847.0963333333327,3237.301,2.19174,1795.1223333333337,3210.22,2.0305056,1736.4043333333332,3213.295,0.0276955372140231,1.0
2008-07-01,3.1809346,0.6646573382352942,2008-07,0.451328442242237,2.653271,2.8445346,1930.963333333333,3235.877,2.9657498,1847.0963333333327,3237.301,2.19174,1795.1223333333337,3210.22,0.0816221680284316,1.0
